id | title | genre | original_language | overview | popularity | release_date | vote_average | vote_count
1 | Baahubali: The Beginning | Action, Drama, Fantasy | te | In ancient India, two brothers vie for the throne of Mahishmati kingdom. | 120.34 | 2015-07-10 | 8.3 | 12000
2 | Arjun Reddy | Drama, Romance | te | Arjun Reddy is a short-tempered surgeon who is deeply in love with a girl. | 75.12 | 2017-08-25 | 7.9 | 9500
3 | KGF: Chapter 1 | Action, Drama | te | A gangster rises to power in the gold mines of Kolar. | 85.11 | 2018-12-21 | 8.4 | 15000
4 | Ala Vaikunthapurramuloo | Comedy, Drama, Romance | te | A young man is caught in a series of comedic situations that eventually lead him to uncover family secrets. | 65.34 | 2020-01-12 | 7.8 | 8500
5 | Sye | Action, Drama, Sports | te | A college student fights to win his university's rugby championship. | 45.67 | 2004-10-01 | 7.4 | 8000
6 | RRR | Action, Drama, History | te | A fictional retelling of two Indian revolutionaries' fight against British colonialists. | 98.76 | 2022-03-25 | 8.2 | 13000
7 | Pelli Sandadi | Romance, Drama | te | A love story between two individuals that explores their relationship and the challenges they face. | 56.23 | 1996-10-09 | 7.5 | 6400
8 | Magadheera | Action, Fantasy, Romance | te | A man is reincarnated to fight an ancient battle for love and revenge. | 103.45 | 2009-07-31 | 8.0 | 16000
9 | Dhamaka | Action, Thriller | te | A journalist turns into a hero when he becomes involved in stopping a terrorist attack. | 78.56 | 2022-12-23 | 7.9 | 11200
10 | Nannaku Prematho | Drama, Action | te | A son embarks on a mission to fulfill his father's last wish, uncovering family secrets along the way. | 62.44 | 2016-01-13 | 7.7 | 7500
11 | Eega | Fantasy, Drama, Action | te | A man is reincarnated as a housefly and seeks revenge on the businessman who killed him. | 88.23 | 2012-07-06 | 8.1 | 9500
12 | Dhruva | Action, Thriller | te | A cop fights against a ruthless villain to prevent him from spreading chaos. | 80.12 | 2016-12-09 | 7.8 | 9200
13 | Shankar Dada MBBS | Comedy, Drama | te | A man from a rich family is forced to become a doctor to fulfill his family's wishes. | 50.45 | 2004-04-09 | 7.3 | 6500
14 | Temper | Action, Drama | te | A corrupt cop changes his ways after falling in love with a woman. | 65.89 | 2015-02-13 | 7.5 | 8200
15 | Baahubali: The Conclusion | Action, Drama, Fantasy | te | The battle for the throne continues as secrets and betrayals unfold. | 135.67 | 2017-04-28 | 8.0 | 18000
16 | KGF: Chapter 2 | Action, Drama | te | The sequel continues the story of Rocky, the gangster in the gold mines of Kolar. | 150.12 | 2022-04-14 | 8.5 | 22000
17 | Srimanthudu | Drama, Action | te | A young man returns to his village to fulfill his father's dreams and change the community. | 92.67 | 2015-08-07 | 7.9 | 11000
18 | Race Gurram | Action, Comedy | te | A rivalry between two brothers leads to action-packed drama and comedy. | 75.00 | 2014-04-11 | 7.6 | 9500
19 | Pawan Kalyan: Tholi Prema | Romance, Drama | te | A story of love and heartbreak between two college sweethearts. | 58.56 | 2018-02-10 | 7.7 | 7300
20 | Kshana Kshanam | Action, Drama | te | A man and a woman get caught in a dangerous conspiracy involving a stolen fortune. | 49.78 | 1991-09-06 | 7.5 | 6400
21 | Rajanna | Action, Drama, History | te | A revolutionary leader's life and legacy are explored through the struggle for independence. | 63.12 | 2011-12-22 | 7.3 | 7100
22 | Karthikeya | Thriller, Mystery, Drama | te | A man investigates the mystery of an ancient temple and its hidden treasures. | 61.89 | 2014-09-05 | 7.8 | 7200
23 | Attarintiki Daredi | Comedy, Drama | te | A man sets out to mend his relationship with his aunt in a lighthearted story. | 78.45 | 2013-09-27 | 7.4 | 8500
24 | Vakeel Saab | Drama, Thriller | te | A man fights against a powerful system to fight for justice for three women. | 69.34 | 2021-04-09 | 7.9 | 9600
25 | Baadshah | Action, Comedy, Thriller | te | A young man takes on a dangerous mission while hiding his true identity. | 56.78 | 2013-03-01 | 7.3 | 6800
26 | Jalsa | Action, Comedy | te | A man who has been wrongly accused of a crime tries to clear his name and expose the truth. | 72.34 | 2008-03-02 | 7.6 | 7500
27 | Sarrainodu | Action, Drama, Thriller | te | A former army officer becomes involved in a power struggle in a village. | 88.21 | 2016-04-08 | 7.5 | 9400
28 | Seethamma Vakitlo Sirimalle Chettu | Drama, Family | te | The struggles of a family dealing with the pressures of life, love, and relationships. | 55.98 | 2013-02-07 | 7.8 | 8200
29 | Sye Raa Narasimha Reddy | Action, Drama, History | te | A freedom fighter battles British rulers during India's independence struggle. | 99.34 | 2019-10-02 | 7.7 | 11000
30 | Gaddalakonda Ganesh | Action, Drama, Thriller | te | A gangster sets out on a path of revenge after being betrayed by his own men. | 80.12 | 2019-09-20 | 7.4 | 9000
31 | Pelli Choopulu | Romance, Comedy | te | Two strangers are forced into an arranged marriage that eventually blossoms into love. | 69.43 | 2016-07-29 | 7.6 | 7800
32 | Chiranjeevi's Khaidi No. 150 | Action, Drama, Thriller | te | A man sets out to right the wrongs of the corrupt system, with explosive results. | 120.45 | 2017-01-11 | 7.8 | 10000
33 | Janatha Garage | Action, Drama | te | A mechanic fights for justice while balancing his relationship with his family. | 74.56 | 2016-09-01 | 7.5 | 8500
34 | Pokiri | Action, Thriller | te | A police officer goes undercover as a hitman to expose the underworld and take down criminals. | 101.23 | 2006-04-28 | 8.0 | 15000
35 | Kshana Kshanam | Thriller, Drama | te | A woman’s mysterious disappearance triggers a series of unexpected events. | 49.89 | 1991-09-06 | 7.5 | 6100
36 | Karthikeya 2 | Thriller, Mystery, Drama | te | The sequel to Karthikeya delves deeper into the mysteries surrounding the temple and its powers. | 78.45 | 2022-08-12 | 8.2 | 9400
37 | Junnu | Drama, Romance | te | A young couple faces the obstacles of love and life in their pursuit of happiness. | 61.00 | 2021-10-10 | 7.7 | 6700
38 | Oh Baby | Comedy, Drama | te | A middle-aged woman transforms into a younger version of herself, gaining new perspectives on life. | 63.45 | 2019-07-05 | 7.8 | 8200
39 | Bhaagamathie | Horror, Thriller | te | A woman’s life takes a horrifying turn as she uncovers dark secrets in an abandoned mansion. | 90.12 | 2018-01-26 | 7.3 | 7200
40 | Ranga Ranga Vaibhavanga | Romance, Drama | te | Two families from different backgrounds fall in love amidst cultural tensions. | 65.12 | 2022-09-15 | 7.5 | 6300
41 | Yevadu | Action, Drama, Thriller | te | A man takes on a new identity after an attack leaves him with amnesia. | 72.90 | 2014-01-12 | 7.5 | 8700
42 | Sarileru Neekevvaru | Action, Comedy, Drama | te | An army officer's mission to bring justice to a corrupt system leads him to a small town. | 88.45 | 2020-01-11 | 7.8 | 12500
43 | Dhoni | Sports, Drama | te | The life and struggles of a man who dreams of becoming a cricket player. | 55.23 | 2012-12-12 | 7.4 | 5600
44 | Gentleman | Action, Thriller | te | A man seeks revenge for his family’s murder and uncovers secrets that change his life. | 73.67 | 2016-05-17 | 7.6 | 7800
45 | Pelli Sandadi | Romance, Drama | te | A love story between two individuals who go through life's challenges together. | 58.23 | 1996-10-09 | 7.5 | 7400
